iter	Passed	Remaining
788	5172	1383
789	5177	1376
790	5182	1369
791	5187	1362
792	5193	1355
793	5202	1349
794	5206	1342
795	5210	1335
796	5217	1329
797	5222	1322
798	5227	1315
799	5233	1308
800	5237	1301
801	5242	1294
802	5248	1287
803	5253	1280
804	5259	1274
805	5265	1267
806	5270	1260
807	5274	1253
808	5280	1246
809	5284	1239
810	5288	1232
811	5293	1225
812	5298	1218
813	5303	1211
814	5307	1204
815	5313	1198
816	5317	1191
817	5322	1184
818	5328	1177
819	5332	1170
820	5336	1163
821	5340	1156
822	5346	1149
823	5350	1142
824	5354	1135
825	5360	1129
826	5365	1122
827	5370	1115
828	5376	1109
829	5381	1102
830	5385	1095
831	5392	1088
832	5397	1082
833	5402	1075
834	5409	1068
835	5413	1062
836	5419	1055
837	5424	1048
838	5429	1041
839	5433	1034
840	5438	1028
841	5443	1021
842	5447	1014
843	5451	1007
844	5457	1001
845	5462	994
846	5466	987
847	5472	980
848	5476	974
849	5481	967
850	5487	960
851	5492	954
852	5496	947
853	5501	940
854	5505	933
855	5510	926
856	5514	920
857	5520	913
858	5524	906
859	5529	900
860	5534	893
861	5539	886
862	5543	880
863	5547	873
864	5553	866
865	5557	859
866	5562	853
867	5567	846
868	5572	839
869	5576	833
870	5582	826
871	5587	820
872	5592	813
873	5598	807
874	5603	800
875	5607	793
876	5611	787
877	5616	780
878	5620	773
879	5625	767
880	5631	760
881	5635	753
882	5639	747
883	5645	740
884	5650	734
885	5654	727
886	5660	721
887	5665	714
888	5669	707
889	5673	701
890	5679	694
891	5684	688
892	5690	681
893	5696	675
894	5700	668
895	5704	662
896	5710	655
897	5714	649
898	5718	642
899	5722	635
900	5728	629
901	5732	622
902	5737	616
903	5743	609
904	5747	603
905	5752	596
906	5760	590
907	5765	584
908	5769	577
909	5775	571
910	5780	564
911	5786	558
912	5792	552
913	5797	545
914	5801	538
915	5807	532
916	5811	526
917	5816	519
918	5821	513
919	5826	506
920	5830	500
921	5835	493
922	5840	487
923	5844	480
924	5848	474
925	5855	467
926	5859	461
927	5865	455
928	5872	448
929	5877	442
930	5881	435
931	5887	429
932	5891	423
933	5896	416
934	5901	410
935	5905	403
936	5909	397
937	5914	390
938	5920	384
939	5926	378
940	5931	371
941	5936	365
942	5940	359
943	5944	352
944	5950	346
945	5954	339
946	5958	333
947	5963	327
948	5968	320
949	5972	314
950	5976	307
951	5981	301
952	5985	295
953	5990	288
954	5995	282
955	5999	276
956	6004	269
957	6008	263
958	6013	257
959	6017	250
960	6024	244
961	6028	238
962	6033	231
963	6037	225
964	6041	219
965	6046	212
966	6051	206
967	6055	200
968	6060	193
969	6064	187
970	6068	181
971	6073	174
972	6077	168
973	6082	162
974	6086	156
975	6091	149
976	6095	143
977	6100	137
978	6104	130
979	6108	124
980	6113	118
981	6117	112
982	6123	105
983	6129	99
984	6133	93
985	6138	87
986	6142	80
987	6147	74
988	6151	68
989	6156	62
990	6161	55
991	6165	49
992	6174	43
993	6182	37
994	6187	31
995	6192	24
996	6196	18
997	6201	12
998	6206	6
999	6210	0
